
аа A С мр,но,ед,им ndmsi но/мр/ед/им
аб A С мр,но,ед,рд ndmsg но/мр/ед/рд
ав A С мр,но,ед,дт ndmsd но/мр/ед/дт
аг A С мр,но,ед,вн ndmsv но/мр/ед/вн
ад A С мр,но,ед,тв ndmst но/мр/ед/тв
ае A С мр,но,ед,пр ndmsp но/мр/ед/пр
аж A С мр,но,мн,им ndmpi но/мр/мн/им
аз A С мр,но,мн,рд ndmpg но/мр/мн/рд
аи A С мр,но,мн,дт ndmpd но/мр/мн/дт
ай A С мр,но,мн,вн ndmpv но/мр/мн/вн
ак A С мр,но,мн,тв ndmpt но/мр/мн/тв
ал A С мр,но,мн,пр ndmpp но/мр/мн/пр
ам B С мр,но,0 ndm но/мр
ан B С мр,но,ед,0 ndms но/мр/ед

//  аббревиатуры
ао B С мр,но,аббр,0, nadm аббр/но/мр
ап B С мр,но,ед,аббр,0 nadms аббр/но/мр/ед
ар D С мр,од,аббр,0 nalm аббр/од/мр
ас D С мр,од,ед,аббр,0 nalms аббр/од/мр/ед
ат H С жр,но,аббр,0 nadf аббр/но/жр
ау H С жр,но,ед,аббр,0 nadfs аббр/но/жр/ед
аф H С жр,од,аббр,0 nalf аббр/од/жр
ах H С жр,од,ед,аббр,0 nalfs аббр/од/жр/ед
ац H С ср,но,аббр,0 nadn аббр/но/ср
ач H С ср,но,ед,аббр,0 nadns аббр/но/ср/ед
аш H С ср,од,аббр,0 naln аббр/од/ср
ащ H С ср,од,ед,аббр,0 nalns аббр/од/ср/ед
аъ R С мн,од,аббр,0 nalp аббр/од/мн
аы R С мн,но,аббр,0 nadp аббр/но/мн


ба C С мр,од,ед,им nlmsi од/мр/ед/им
бб C С мр,од,ед,рд nlmsg од/мр/ед/рд
бв C С мр,од,ед,дт nlmsd од/мр/ед/дт
бг C С мр,од,ед,вн nlmsv од/мр/ед/вн
бд C С мр,од,ед,тв nlmst од/мр/ед/тв
бе C С мр,од,ед,пр nlmsp од/мр/ед/пр
бж C С мр,од,мн,им nlmpi од/мр/мн/им
бз C С мр,од,мн,рд nlmpg од/мр/мн/рд
би C С мр,од,мн,дт nlmpd од/мр/мн/дт
бй C С мр,од,мн,вн nlmpv од/мр/мн/вн
бк C С мр,од,мн,тв nlmpt од/мр/мн/тв
бл C С мр,од,мн,пр nlmpp од/мр/мн/пр
бм D С мр,од,0 nlm од/мр
бн D С мр,од,ед,0 nlms од/мр/ед


бо C С мр,од,имя,ед,им nnmsi имя/мр/ед/им
бп C С мр,од,имя,ед,рд nnmsg имя/мр/ед/рд
бр C С мр,од,имя,ед,дт nnmsd имя/мр/ед/дт
бс C С мр,од,имя,ед,вн nnmsv имя/мр/ед/вн
бт C С мр,од,имя,ед,тв nnmst имя/мр/ед/тв
бу C С мр,од,имя,ед,пр nnmsp имя/мр/ед/пр
бф C С мр,од,имя,мн,им nnmpi имя/мр/мн/им
бх C С мр,од,имя,мн,рд nnmpg имя/мр/мн/рд
бц C С мр,од,имя,мн,дт nnmpd имя/мр/мн/дт
бч C С мр,од,имя,мн,вн nnmpv имя/мр/мн/вн
бш C С мр,од,имя,мн,тв nnmpt имя/мр/мн/тв
бщ C С мр,од,имя,мн,пр nnmpp имя/мр/мн/пр
бА C С мр,од,фам,ед,им nfmsi фам/мр/ед/им
бБ C С мр,од,фам,ед,рд nfmsg фам/мр/ед/рд
бВ C С мр,од,фам,ед,дт nfmsd фам/мр/ед/дт
бГ C С мр,од,фам,ед,вн nfmsv фам/мр/ед/вн
бД C С мр,од,фам,ед,тв nfmst фам/мр/ед/тв
бЕ C С мр,од,фам,ед,пр nfmsp фам/мр/ед/пр
бЖ C С мр,од,фам,мн,им nfmpi фам/мр/мн/им
бЗ C С мр,од,фам,мн,рд nfmpg фам/мр/мн/рд
бИ C С мр,од,фам,мн,дт nfmpd фам/мр/мн/дт
бЙ C С мр,од,фам,мн,вн nfmpv фам/мр/мн/вн
бК C С мр,од,фам,мн,тв nfmpt фам/мр/мн/тв
бЛ C С мр,од,фам,мн,пр nfmpp фам/мр/мн/пр
бМ I С мр,од,фам,0 nfm фам/мр
бН I С мр,од,имя,0 nnm имя/мр
ва E С мр-жр,од,ед,им nlwsi од/мр-жр/ед/им
вб E С мр-жр,од,ед,рд nlwsg од/мр-жр/ед/рд
вв E С мр-жр,од,ед,дт nlwsd од/мр-жр/ед/дт
вг E С мр-жр,од,ед,вн nlwsv од/мр-жр/ед/вн
вд E С мр-жр,од,ед,тв nlwst од/мр-жр/ед/тв
ве E С мр-жр,од,ед,пр nlwsp од/мр-жр/ед/пр
вж E С мр-жр,од,мн,им nlwpi од/мр-жр/мн/им
вз E С мр-жр,од,мн,рд nlwpg од/мр-жр/мн/рд
ви E С мр-жр,од,мн,дт nlwpd од/мр-жр/мн/дт
вй E С мр-жр,од,мн,вн nlwpv од/мр-жр/мн/вн
вк E С мр-жр,од,мн,тв nlwpt од/мр-жр/мн/тв
вл E С мр-жр,од,мн,пр nlwpp од/мр-жр/мн/пр
вм F С мр-жр,од,0 nlw од/мр-жр
вн F С мр-жр,од,ед,0 nlws од/мр-жр/ед
вА E С мр-жр,од,фам,ед,им nfwsi фам/мр-жр/ед/им
вБ E С мр-жр,од,фам,ед,рд nfwsg фам/мр-жр/ед/рд
вВ E С мр-жр,од,фам,ед,дт nfwsd фам/мр-жр/ед/дт
вГ E С мр-жр,од,фам,ед,вн nfwsv фам/мр-жр/ед/вн
вД E С мр-жр,од,фам,ед,тв nfwst фам/мр-жр/ед/тв
вЕ E С мр-жр,од,фам,ед,пр nfwsp фам/мр-жр/ед/пр
вЖ E С мр-жр,од,фам,мн,им nfwpi фам/мр-жр/мн/им
вЗ E С мр-жр,од,фам,мн,рд nfwpg фам/мр-жр/мн/рд
вИ E С мр-жр,од,фам,мн,дт nfwpd фам/мр-жр/мн/дт
вЙ E С мр-жр,од,фам,мн,вн nfwpv фам/мр-жр/мн/вн
вК E С мр-жр,од,фам,мн,тв nfwpt фам/мр-жр/мн/тв
вЛ E С мр-жр,од,фам,мн,пр nfwpp фам/мр-жр/мн/пр
вМ E С мр-жр,од,фам,0 nfw фам/мр-жр
вН E С мр-жр,од,имя,0 nnw имя/мр-жр
вО E С мр-жр,од,имя,ед,им nnwsi имя/мр-жр/ед/им
вП E С мр-жр,од,имя,ед,рд nnwsg имя/мр-жр/ед/рд
вР E С мр-жр,од,имя,ед,дт nnwsd имя/мр-жр/ед/дт
вС E С мр-жр,од,имя,ед,вн nnwsv имя/мр-жр/ед/вн
вТ E С мр-жр,од,имя,ед,тв nnwst имя/мр-жр/ед/тв
вУ E С мр-жр,од,имя,ед,пр nnwsp имя/мр-жр/ед/пр
вФ E С мр-жр,од,имя,мн,им nnwpi имя/мр-жр/мн/им
вХ E С мр-жр,од,имя,мн,рд nnwpg имя/мр-жр/мн/рд
вЦ E С мр-жр,од,имя,мн,дт nnwpd имя/мр-жр/мн/дт
вЧ E С мр-жр,од,имя,мн,вн nnwpv имя/мр-жр/мн/вн
