	|	V	VA	|	N	NA	NP	|	PR	RL	SM	|	J	JL	|	PAA	PAN	PAV	PNA	PNN	PNV	PVA	PVN	PVV	|	R	RA	RC	RQ	X	NGL	NGR	PS	PA	IJ	|	NUM	NUMV	NUMO	ORD	|	CLN	CLV	QFL	QFR	|	CD	CN	CV	|
	|			|				|				|			|										|											|					|					|				|
ตาม	|			|				|				|			|	1	1			1		1			|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
เพื่อ	|			|				|				|			|			1		1		1		1	|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
ยกเว้น	|			|				|				|			|	1				1		1			|											|					|					|				|
พร้อม	|			|				|				|			|	1				1		1			|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
ระหว่าง	|			|				|				|			|		1			1		1			|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
ร่วมกับ	|			|				|				|			|					1		1	1		|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
ตลอดจน	|			|				|				|			|			1		1				1	|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
ราว	|			|				|				|			|		1					1	1		|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
โดย	|			|				|				|			|	1						1	1		|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
จาก	|			|				|				|			|	1	1						1		|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
แต่	|			|				|				|			|		1						1	1	|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
ยกเว้นแต่	|			|				|				|			|					1		1			|											|					|					|				|
พร้อมด้วย	|			|				|				|			|					1		1			|											|					|					|				|
พร้อมทั้ง	|			|				|				|			|					1		1			|											|					|					|				|
รวม	|			|				|				|			|					1		1			|											|					|					|				|
ต่อจาก	|			|				|				|			|					1		1			|											|					|					|				|
พร้อมกับ	|			|				|				|			|					1		1			|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
ท้าย	|			|				|				|			|		1			1					|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
ใกล้เคียง	|			|				|				|			|					1				1	|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
ทั้ง	|			|				|				|			|		1						1		|											|					|					|				|
ริม	|			|				|				|			|		1						1		|											|					|					|				|
แด่	|			|				|				|			|		1						1		|											|					|					|				|
ถึง	|			|				|				|			|		1						1		|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
ให้	|			|				|				|			|							1	1		|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
เท่า	|			|				|				|			|	1						1			|											|					|					|				|
ก่อน	|			|				|				|			|	1						1			|											|					|					|				|
ทาง	|			|				|				|			|	1						1			|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
เช่น	|			|				|				|			|							1			|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
พอ	|			|				|				|			|							1		1	|											|					|					|				|
จนกระทั่ง	|			|				|				|			|							1		1	|											|					|					|				|
ตอน	|			|				|				|			|							1		1	|											|					|					|				|
ก็แล้วแต่	|			|				|				|			|							1		1	|											|					|					|				|
ก็เพื่อ	|			|				|				|			|							1		1	|											|					|					|				|
จน	|			|				|				|			|							1		1	|											|					|					|				|
เมื่อ	|			|				|				|			|							1		1	|											|					|					|				|
เพราะ	|			|				|				|			|							1		1	|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
จนถึง	|			|				|				|			|		1					1			|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
เพื่อที่	|			|				|				|			|			1				1			|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
กระทั่ง	|			|				|				|			|	1								1	|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
โดยที่	|			|				|				|			|			1						1	|											|					|					|				|
ถ้าหาก	|			|				|				|			|			1						1	|											|					|					|				|
ถ้า	|			|				|				|			|			1						1	|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
เหนือ	|			|				|				|			|	1	1								|											|					|					|				|
ทั่ว	|			|				|				|			|	1	1								|											|					|					|				|
นอกเหนือ	|			|				|				|			|	1	1								|											|					|					|				|
นอกเหนือจาก	|			|				|				|			|	1	1								|											|					|					|				|
ที่	|			|				|				|			|	1	1								|											|					|					|				|
หลัง	|			|				|				|			|	1	1								|											|					|					|				|
ใต้	|			|				|				|			|	1	1								|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
ออฟ	|			|				|				|			|					1					|											|					|					|				|
ชั่ว	|			|				|				|			|					1					|											|					|					|				|
แห่ง	|			|				|				|			|					1					|											|					|					|				|
อะเกนสต์	|			|				|				|			|					1					|											|					|					|				|
ร่วม	|			|				|				|			|					1					|											|					|					|				|
อ็อฟ	|			|				|				|			|					1					|											|					|					|				|
ของ	|			|				|				|			|					1					|											|					|					|				|
ว่าด้วย	|			|				|				|			|					1					|											|					|					|				|
เดอ	|			|				|				|			|					1					|											|					|					|				|
อ๊อฟ	|			|				|				|			|					1					|											|					|					|				|
บวก	|			|				|				|			|					1					|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
ที่ว่า	|			|				|				|			|						1				|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
ไกล	|			|				|				|			|								1		|											|					|					|				|
โดยเฉพาะ	|			|				|				|			|								1		|											|					|					|				|
กับ	|			|				|				|			|								1		|											|					|					|				|
ให้แก่	|			|				|				|			|								1		|											|					|					|				|
หา	|			|				|				|			|								1		|											|					|					|				|
ต่อ	|			|				|				|			|								1		|											|					|					|				|
ขึ้น	|			|				|				|			|								1		|											|					|					|				|
ถูก	|			|				|				|			|								1		|											|					|					|				|
ใกล้	|			|				|				|			|								1		|											|					|					|				|
ตราบ	|			|				|				|			|								1		|											|					|					|				|
อยู่	|			|				|				|			|								1		|											|					|					|				|
โดยเฉพาะกับ	|			|				|				|			|								1		|											|					|					|				|
ลง	|			|				|				|			|								1		|											|					|					|				|
ยัง	|			|				|				|			|								1		|											|					|					|				|
ตลอด	|			|				|				|			|								1		|											|					|					|				|
แก่	|			|				|				|			|								1		|											|					|					|				|
มายัง	|			|				|				|			|								1		|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
กว่า	|			|				|				|			|							1			|											|					|					|				|
หลังจาก	|			|				|				|			|							1			|											|					|					|				|
เท่ากับ	|			|				|				|			|							1			|											|					|					|				|
แม้กระทั่ง	|			|				|				|			|							1			|											|					|					|				|
เทียม	|			|				|				|			|							1			|											|					|					|				|
แบบ	|			|				|				|			|							1			|											|					|					|				|
หาก	|			|				|				|			|							1			|											|					|					|				|
ด้วย	|			|				|				|			|							1			|											|					|					|				|
เยี่ยง	|			|				|				|			|							1			|											|					|					|				|
แม้แต่	|			|				|				|			|							1			|											|					|					|				|
ราวกับ	|			|				|				|			|							1			|											|					|					|				|
ดุจดั่ง	|			|				|				|			|							1			|											|					|					|				|
อย่างเช่น	|			|				|				|			|							1			|											|					|					|				|
แล้วแต่	|			|				|				|			|							1			|											|					|					|				|
ก่อนหน้า	|			|				|				|			|							1			|											|					|					|				|
จนกว่า	|			|				|				|			|							1			|											|					|					|				|
ดังเช่น	|			|				|				|			|							1			|											|					|					|				|
ท่ามกลาง	|			|				|				|			|							1			|											|					|					|				|
ดุจ	|			|				|				|			|							1			|											|					|					|				|
ดั่ง	|			|				|				|			|							1			|											|					|					|				|
เพื่อให้	|			|				|				|			|							1			|											|					|					|				|
ขณะ	|			|				|				|			|							1			|											|					|					|				|
อย่าง	|			|				|				|			|							1			|											|					|					|				|
ดัง	|			|				|				|			|							1			|											|					|					|				|
เป็น	|			|				|				|			|							1			|											|					|					|				|
จนกว่าจะ	|			|				|				|			|							1			|											|					|					|				|
หากว่า	|			|				|				|			|							1			|											|					|					|				|
ตัวอย่างเช่น	|			|				|				|			|							1			|											|					|					|				|
เช่นเดียวกับ	|			|				|				|			|							1			|											|					|					|				|
ขณะที่	|			|				|				|			|							1			|											|					|					|				|
เว้นแต่	|			|				|				|			|							1			|											|					|					|				|
ช่วง	|			|				|				|			|							1			|											|					|					|				|
ในระหว่าง	|			|				|				|			|							1			|											|					|					|				|
อาทิเช่น	|			|				|				|			|							1			|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
ทำให้	|			|				|				|			|									1	|											|					|					|				|
ในกรณีที่	|			|				|				|			|									1	|											|					|					|				|
ตราบเท่าที่	|			|				|				|			|									1	|											|					|					|				|
ตอนที่	|			|				|				|			|									1	|											|					|					|				|
ราวกับว่า	|			|				|				|			|									1	|											|					|					|				|
ตามที่	|			|				|				|			|									1	|											|					|					|				|
ยิ่ง	|			|				|				|			|									1	|											|					|					|				|
แล้วก็	|			|				|				|			|									1	|											|					|					|				|
เลย	|			|				|				|			|									1	|											|					|					|				|
เหตุเพราะ	|			|				|				|			|									1	|											|					|					|				|
แต่ว่า	|			|				|				|			|									1	|											|					|					|				|
จึง	|			|				|				|			|									1	|											|					|					|				|
จากที่	|			|				|				|			|									1	|											|					|					|				|
ก็เพราะ	|			|				|				|			|									1	|											|					|					|				|
แม้ว่า	|			|				|				|			|									1	|											|					|					|				|
แล้วไป	|			|				|				|			|									1	|											|					|					|				|
แล้ว	|			|				|				|			|									1	|											|					|					|				|
ในเมื่อ	|			|				|				|			|									1	|											|					|					|				|
ตราบจนกว่า	|			|				|				|			|									1	|											|					|					|				|
ถ้าเผื่อ	|			|				|				|			|									1	|											|					|					|				|
ต่อเมื่อ	|			|				|				|			|									1	|											|					|					|				|
รังแต่	|			|				|				|			|									1	|											|					|					|				|
แม้น	|			|				|				|			|									1	|											|					|					|				|
ก็เพื่อให้	|			|				|				|			|									1	|											|					|					|				|
ก็ต่อเมื่อ	|			|				|				|			|									1	|											|					|					|				|
ทั้งๆที่	|			|				|				|			|									1	|											|					|					|				|
ทั้งๆ_ที่	|			|				|				|			|									1	|											|					|					|				|
เหมือนว่า	|			|				|				|			|									1	|											|					|					|				|
ทั้งที่	|			|				|				|			|									1	|											|					|					|				|
แม้	|			|				|				|			|									1	|											|					|					|				|
การที่	|			|				|				|			|									1	|											|					|					|				|
ตราบที่	|			|				|				|			|									1	|											|					|					|				|
ถึงแม้	|			|				|				|			|									1	|											|					|					|				|
กรณีที่	|			|				|				|			|									1	|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
คือ	|			|				|				|			|										|											|					|					|				|
ได้แก่	|			|				|				|			|										|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
หน้า	|			|				|				|			|		1								|											|					|					|				|
นอก	|			|				|				|			|		1								|											|					|					|				|
เอาท์	|			|				|				|			|		1								|											|					|					|				|
หน่อย	|			|				|				|			|		1								|											|					|					|				|
ณ	|			|				|				|			|		1								|											|					|					|				|
ข้าง	|			|				|				|			|		1								|											|					|					|				|
ยัน	|			|				|				|			|		1								|											|					|					|				|
อินไซด์	|			|				|				|			|		1								|											|					|					|				|
ภายหน้า	|			|				|				|			|		1								|											|					|					|				|
วิธ	|			|				|				|			|		1								|											|					|					|				|
อัพ	|			|				|				|			|		1								|											|					|					|				|
เกี่ยวกับ	|			|				|				|			|		1								|											|					|					|				|
ฉัน	|			|				|				|			|		1								|											|					|					|				|
แบ็ค	|			|				|				|			|		1								|											|					|					|				|
ประกอบ	|			|				|				|			|		1								|											|					|					|				|
บาย	|			|				|				|			|		1								|											|					|					|				|
อาฟเตอร์	|			|				|				|			|		1								|											|					|					|				|
นำ	|			|				|				|			|		1								|											|					|					|				|
ถัดจาก	|			|				|				|			|		1								|											|					|					|				|
ฟอร์	|			|				|				|			|		1								|											|					|					|				|
ต้น	|			|				|				|			|		1								|											|					|					|				|
ออน	|			|				|				|			|		1								|											|					|					|				|
แบค	|			|				|				|			|		1								|											|					|					|				|
ฟรอม	|			|				|				|			|		1								|											|					|					|				|
ภายหลัง	|			|				|				|			|		1								|											|					|					|				|
อันเดอร์	|			|				|				|			|		1								|											|					|					|				|
รอบ	|			|				|				|			|		1								|											|					|					|				|
กลาง	|			|				|				|			|		1								|											|					|					|				|
ประจำ	|			|				|				|			|		1								|											|					|					|				|
อิน	|			|				|				|			|		1								|											|					|					|				|
ผ่าน	|			|				|				|			|		1								|											|					|					|				|
ด้าน	|			|				|				|			|		1								|											|					|					|				|
ราย	|			|				|				|			|		1								|											|					|					|				|
แอท	|			|				|				|			|		1								|											|					|					|				|
ใน	|			|				|				|			|		1								|											|					|					|				|
อะโบฟ	|			|				|				|			|		1								|											|					|					|				|
สู่	|			|				|				|			|		1								|											|					|					|				|
เชิง	|			|				|				|			|		1								|											|					|					|				|
บน	|			|				|				|			|		1								|											|					|					|				|
เทียบเท่า	|			|				|				|			|		1								|											|					|					|				|
ประมาณ	|			|				|				|			|		1								|											|					|					|				|
ภายใน	|			|				|				|			|		1								|											|					|					|				|
ส่วน	|			|				|				|			|		1								|											|					|					|				|
